Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
AA-10315,184,5,5563.56,1,1,4,114
AA-10375,19,9,1056.39,4,4,1,441
AA-10480,259,4,1790.5120000000002,1,1,2,112
AA-10645,55,6,5086.9349999999995,3,2,4,324
AB-10015,415,3,886.156,1,1,1,111
AB-10060,54,8,7755.62,3,3,4,334
AB-10105,41,10,14473.570999999998,3,4,4,344
AB-10150,41,5,966.71,3,1,1,311
AB-10165,25,8,1113.838,4,3,1,431
AB-10255,166,9,914.5319999999999,2,4,1,241
AB-10600,50,4,1515.862,3,1,2,312
AC-10420,232,3,925.8,1,1,1,111
AC-10450,11,7,5527.846,4,3,4,434
AC-10615,6,5,2537.6859999999997,4,1,3,413
AC-10660,282,5,657.316,1,1,1,111
AD-10180,29,8,6106.88,4,3,4,434
AF-10870,41,7,2052.908,3,3,2,332
AF-10885,415,4,861.565,1,1,1,111
AG-10270,278,5,2582.898,1,2,3,123
AG-10300,118,4,367.548,2,1,1,211
AG-10330,8,5,660.972,4,2,1,421
AG-10390,114,5,200.945,2,2,1,221
AG-10495,78,8,2356.855,2,3,3,233
AG-10525,845,4,1455.038,1,1,2,112
AG-10675,97,7,3489.0396000000005,2,3,3,233
AG-10765,77,4,170.584,2,1,1,211
AG-10900,96,10,4510.797,2,4,4,244
AH-10030,12,7,1744.7,4,3,2,432
AH-10075,34,10,3250.337,3,4,3,343
AH-10120,60,7,1735.5140000000001,3,3,2,332
AH-10195,55,4,1587.452,3,1,2,312
AH-10210,6,9,4805.344,4,4,4,444
AH-10465,230,5,2495.3916,1,2,3,123
AH-10585,21,4,738.504,4,1,1,411
AH-10690,410,12,7888.294,1,4,4,144
AI-10855,13,10,4375.786,4,4,4,444
AJ-10780,75,7,4867.344,3,3,4,334
AJ-10795,166,7,4501.391,2,3,4,234
AJ-10945,85,7,1839.24,2,3,2,232
AJ-10960,74,3,629.2479999999999,3,1,1,311
AM-10360,28,5,814.012,4,2,1,421
AM-10705,162,8,5664.022,2,3,4,234
AO-10810,501,1,161.28,1,1,1,111
AP-10720,41,8,1638.554,3,3,2,332
AP-10915,98,10,3323.556,2,4,3,243
AR-10345,111,4,1055.694,2,1,1,211
AR-10405,125,5,2236.128,2,2,2,222
AR-10510,14,5,264.86400000000003,4,2,1,421
AR-10540,6,6,6608.448,4,2,4,424
AR-10570,534,1,88.15,1,1,1,111
AR-10825,58,8,4523.336,3,3,4,334
AS-10045,88,7,3050.692,2,3,3,233
AS-10090,28,9,3255.31,4,4,3,443
AS-10135,41,2,58.82,3,1,1,311
AS-10225,22,5,4260.784,4,2,4,424
AS-10240,192,7,584.6080000000001,1,3,1,131
AS-10285,19,6,3214.236,4,2,3,423
AS-10630,92,7,833.398,2,3,1,231
AT-10435,21,6,1171.814,4,2,2,422
AT-10735,13,10,3831.864,4,4,4,444
AW-10840,20,4,649.376,4,1,1,411
AW-10930,46,7,2852.968,3,3,3,333
AY-10555,14,4,497.014,4,1,1,411
AZ-10750,160,6,1622.0179999999998,2,2,2,222
BB-10990,105,5,744.3399999999999,2,2,1,221
BB-11545,28,9,6765.728,4,4,4,444
BC-11125,202,9,2933.676,1,4,3,143
BD-11320,33,12,5718.521,3,4,4,344
BD-11500,35,6,4411.2429999999995,3,2,4,324
BD-11560,278,2,320.54,1,1,1,111
BD-11605,97,7,3288.471,2,3,3,233
BD-11620,69,6,1538.11,3,2,2,322
BD-11635,9,3,582.646,4,1,1,411
BD-11725,93,6,1526.5,2,2,2,222
BD-11770,327,6,658.466,1,2,1,121
BE-11335,119,5,4204.676,2,2,4,224
BE-11410,98,5,2261.438,2,2,3,223
BE-11455,254,6,1727.652,1,2,2,122
BF-10975,91,7,599.798,2,3,1,231
BF-11005,39,4,1333.88,3,1,2,312
BF-11020,74,8,2888.506,3,3,3,333
BF-11080,25,3,272.95,4,1,1,411
BF-11170,16,11,5907.972,4,4,4,444
BF-11215,65,4,1585.162,3,1,2,312
BF-11275,57,3,791.9899999999999,3,1,1,311
BG-11035,28,8,2798.948,4,3,3,433
BG-11695,36,6,1874.172,3,2,2,322
BG-11740,57,6,1006.356,3,2,1,321
BH-11710,23,8,6255.351,4,3,4,434
BK-11260,77,6,659.1379999999999,2,2,1,221
BM-11140,307,4,11789.63,1,1,4,114
BM-11575,100,6,808.162,2,2,1,221
BM-11650,33,11,7294.185,3,4,4,344
BM-11785,218,10,1338.842,1,4,2,142
BN-11470,24,4,265.296,4,1,1,411
BN-11515,9,5,1459.344,4,2,2,422
BO-11350,137,5,2682.728,2,2,3,223
BO-11425,75,2,130.83,3,1,1,311
BP-11050,83,5,983.42,2,2,1,221
BP-11095,17,12,2442.044,4,4,3,443
BP-11155,89,6,1697.8609999999999,2,2,2,222
BP-11185,1,9,3675.861,4,4,3,443
BP-11230,39,5,1181.49,3,2,2,322
BP-11290,12,7,2475.157,4,3,3,433
BS-11365,558,5,10501.653,1,2,4,124
BS-11380,28,5,3887.834,4,2,4,424
BS-11590,35,6,2454.928,3,2,3,323
BS-11665,582,3,3288.1099999999997,1,1,3,113
BS-11755,1,7,2562.382,4,3,3,433
BS-11800,265,2,949.4300000000001,1,1,1,111
